"","X1_LD","X2_LDV","X3_SD","X4_SDV","X5_FT10","X6_FT16","X7_FT22","X40_2W","X42_8W","X43_FLC","X44_FRI","X45_8W.GH.FT","X46_8W.GH.LN","X47_0W.GH.FT","X57_FT.Field","X58_FT.Diameter.Field","X59_FT.GH","X60_FT.Duration.GH","X61_LC.Duration.GH","X62_LFS.GH","X63_MT.GH","X64_RP.GH","X65_At1","X66_At1.CFU2","X67_As","X68_As.CFU2","X69_Bs","X70_Bs.CFU2","X71_At2","X72_At2.CFU2","X73_As2","X74_As2.CFU2","X80_LN10","X81_LN16","X82_LN22","X161_Germ.10","X162_Germ.16","X163_Germ.22","X164_Width.10","X165_Width.16","X166_Width.22","X167_Chlorosis.10","X168_Chlorosis.16","X169_Chlorosis.22","X170_Anthocyanin.10","X171_Anthocyanin.16","X172_Anthocyanin.22","X173_Leaf.serr.10","X174_Leaf.serr.16","X175_Leaf.serr.22","X176_Leaf.roll.10","X177_Leaf.roll.16","X178_Leaf.roll.22","X179_Rosette.Erect.22"
"8239",28.5,25.3333,91.7014,55.8,52,37,29,22.4,21,0.062,2.269,30,17,28,163.14,34.8574,28.5456,19.8578,68.457,48.5086,19.5501,39.6777,1.833,4.47,1.667,3.212,10,5.39,1.167,5.077,1.333,3.723,18,14,14,7,3,2,2.7,9.5,10.5,0,0,1,0,0,1,0.5,0.5,0.5,1,0,0,0
"8240",200,42.5,200,200,93,122,250,114.6,40.9,1.434,0.86,NA,NA,NA,174.339,24.1065,NA,NA,NA,NA,NA,NA,2,3.905,4,4.088,5.5,4.439,1.2,2.826,1.667,3.985,43,84,224,7,3,2,2.3,7.5,11.2,0,1,1,0,0,0,0.5,1,1.5,0,0,0,1
"8241",NA,37,157.021,73.5,73,66,43,33.4,31,0.37,1.146,40,25.3,49.3,189.027,25.6275,52.2428,30.7219,93.9326,82.9444,10.7168,41.578,0.833,2.449,0.333,3.977,3.333,3.639,0.667,3.637,0.5,4.724,37,50,29,7,3,2,3.8,10,16,0,0,1,0,0,0,1,0.75,0.75,0,1,1,1
"8242",200,48.8333,200,200,120,100,250,125,44,1.248,0.636,39.7,38.8,NA,190.945,25.6702,NA,NA,NA,NA,NA,NA,0.667,3.877,1.167,5.007,3.5,4.589,2.667,4.999,3.833,6.03,50,44,254,5,3,2,3,7.6,8.8,0,0,1,0,0,1,0.5,0.5,0.75,1,0,0,0
"8243",93.0417,28.5,200,NA,66,69,51,36.2,19.6,3.598,0.958,NA,NA,NA,157.749,38.5269,66.8893,25.6035,103.919,92.7519,12.145,37.451,2.833,5.468,1.167,4.851,6.333,2.623,0.167,3.815,1.333,4.82,62,58,39,7,3,2,3.2,7.2,10.6,1,1,1,0,0,0,1,1,1.5,1,0,0,1
"8245",34.25,25,83,33.6667,46,47,47,28,18.4,0.362,0.76,25.6,15.6,29,158.899,47.589,27.2739,19.9856,64.3989,47.4199,16.7447,37.011,1.167,5.304,2.5,4.44,8.167,3.779,0.333,5.548,0.333,4.163,18,30,38,7,3,2,2.2,7.4,11.5,0,0,0,0,0,0,0.75,1,1,1,0,0,0
"8247",200,44.75,200,70.8333,87,93,96,77,27.5,3.151,2.093,33.6,27.7,94.1,183.634,30.4749,159.843,NA,NA,NA,NA,NA,1.833,4.803,2.333,5.032,6.667,5.058,0.167,4.662,1,4.58,42,70,78,5,3,2,2.7,7,9,0,0,1,0,1,1,1,1,1,1,1,1,1
"8249",200,41.1667,200,NA,81,98,109,89.8,20.5,1.183,1.281,NA,NA,55,174.311,24.4577,103.671,21.3641,134.407,132.992,1.92336,23.1694,3.667,4.354,3.167,5.594,2.667,5.051,2.833,5.166,1.6,4.41,33,42,60,7,3,2,2.1,5.2,7.5,0,1,1,0,1,1,0,0,0,0,0,0,0
"8254",33.8403,22.8333,86.5069,51,52,52,48,24.8,16.4,1.106,1.494,25.3,14,29.4,163.438,30.045,30.0917,20.3578,68.3449,50.611,15.6923,37.4278,0.167,3.967,0.5,4.604,8.167,2.702,0,3.149,1.667,5.072,16,28,31,7,3,2,2.5,8,12,0,0,0,1,1,0,0.75,0.75,0.75,0,0,0,0
"8256",28.8333,36.3333,85.3472,53.6667,61,41,26,22.6,27.3,0.037,1.79,27.3,19,29.4,180.994,40.6357,25.9406,21.7333,65.4793,47.5698,17.6479,39.5399,1.833,5.135,1.5,5.966,5,3.817,2,5.402,0.167,5.3,19,15,10,7,3,2,2.3,7,12.2,0,1,1,0,1,1,0.75,0.75,1,1,0,0,0
